control_id,control_name,in_scope,module,implementation_status,notes
Art32(1)(a),"Pseudonymisation and encryption of personal data",Yes,keyrack-core,Implemented,"AES-256-GCM encryption. Identity tag tokenization via BLAKE3 with per-tenant salt. Encryption context hashing prevents PII leakage in headers"
Art32(1)(b),"Confidentiality, integrity, availability, resilience",Yes,keyrack-core,Implemented,"Confidentiality: AES-256-GCM. Integrity: GCM authentication tag. Availability: HA in commercial edition. Resilience: key rotation and versioning"
Art32(1)(c),Ability to restore availability and access to data,Partial,keyrack-core,Partial,"Key versioning ensures old ciphertexts remain decryptable. HA/DR depends on deployment (commercial:keyrack-ha). Metadata backup is operational"
Art32(1)(d),"Process for regularly testing, assessing, evaluating security",Partial,keyrack-service,Partial,"Metrics and audit trail support assessment. No built-in penetration testing or assessment automation"
Art32(2),Risk-appropriate security measures,Yes,keyrack-core,Implemented,"Pluggable provider architecture: software for low-risk, HSM for high-risk. PDP authorization scales with policy complexity"
Art17(1),Right to erasure (crypto-shredding),Yes,keyrack-core,Implemented,"destroy_key() with cascade-disable. Destroying a root key permanently renders all data in the hierarchy unrecoverable. HSM material physically erased"
Art17(2),Erasure notification to processors,Partial,keyrack-nats,Partial,"Key destruction audit events emitted via NATS. Downstream processors can subscribe. No built-in notification protocol to data processors"
Art17(3),Erasure exceptions handling,No,operator,N/A,"Legal obligations to retain data are organizational decisions; KeyRack provides disable (preserve decrypt) vs destroy (irreversible)"
Art25(1),Data protection by design,Yes,keyrack-core,Implemented,"Mandatory encryption — no unencrypted path. Fail-closed authorization. Encryption context binding prevents misuse. Sensitive<T> prevents accidental exposure"
Art25(2),Data protection by default,Yes,keyrack-service,Implemented,"Default deny (PDP fail-closed). Identity tags excluded from responses by default. Encryption context hashed before storage. No opt-out from authorization"
Art25-DPIA,Data Protection Impact Assessment support,Partial,commercial:compliance,Partial,"DPIA template available in commercial compliance package. FOSS users need to create their own DPIA"
Art33-BREACH,Breach notification relevance,Yes,keyrack-core,Implemented,"Encrypted data at rest reduces breach notification obligations under Art 34(3)(a). Crypto-shredding provides additional mitigation"
GDPR-CERT-01,Key destruction certificate,Partial,keyrack-nats,Partial,"Destruction events logged in audit trail. No signed destruction certificate for evidentiary purposes. Recommended enhancement"
GDPR-RESIDENCY-01,Data residency of key metadata,Partial,keyrack-postgres,Partial,"Key metadata stored in postgres/sqlite. Data residency depends on where the database is deployed — operational concern"
GDPR-CONTEXT-01,Encryption context PII exposure,Yes,keyrack-core,Implemented,"Encryption context is BLAKE3-hashed before storage in ciphertext header. Pre-image not recoverable. Small context spaces may allow brute-force — document in DPIA"
GDPR-ISOLATION-01,Tenant data isolation,Yes,keyrack-core,Implemented,"Attribute-based key hierarchy provides logical tenant isolation. PDP enforces tenant boundaries. Identity tags tokenized with per-tenant salt"
